fua_code,mean_annual_change_pct,p_value,slope,slope_degrees
CH002L2,-0.1956,0.31,-0.03,-1.75
CH003L2,-0.0327,0.0,-0.32,-17.71
CH004L2,0.6616,0.57,-0.02,-0.99
CH005L2,-0.2321,0.04,-0.08,-4.77
CH006L1,0.7947,0.87,0.01,0.43
CH007L2,1.4169,0.8,-0.03,-1.54
CH008L2,0.4498,0.33,-0.03,-1.92
CH009L2,-1.0747,0.0,-0.31,-17.09
CH010L1,-0.0069,0.14,-0.07,-3.79
CY001L2,-2.0425,0.02,-0.57,-29.58
CY501L2,-0.5926,0.0,-0.44,-23.51
CZ001L2,-0.2077,0.1,-0.18,-10.17
CZ002L2,-0.9753,0.1,-0.25,-13.89
CZ003L2,-0.4649,0.07,-0.62,-32.0
CZ004L2,-1.1503,0.02,-0.46,-24.62
CZ005L2,-1.1397,0.01,-0.37,-20.35
CZ006L2,-1.1442,0.0,-0.57,-29.81
CZ007L2,0.3749,0.68,0.04,2.5
CZ008L2,-1.0764,0.0,-0.58,-30.33
CZ009L2,-0.4927,0.05,-0.44,-23.57
CZ010L2,-0.75,0.07,-0.34,-18.99
CZ011L2,-1.1394,0.01,-0.35,-19.2
CZ013L2,0.163,0.2,-0.12,-6.67
CZ014L2,-0.7468,0.07,-0.33,-18.32
CZ016L2,-1.0229,0.0,-0.53,-27.98
CZ018L2,-0.9892,0.0,-0.56,-29.08
DE001L1,-0.6107,0.01,-0.17,-9.4
DE002L1,0.1902,0.37,-0.06,-3.24
DE003L1,0.3215,0.05,-0.31,-17.46
DE004L1,0.5249,0.1,-0.17,-9.79
DE005L1,0.0891,0.05,-0.2,-11.19
DE007L1,0.7801,0.14,-0.15,-8.57
DE008L2,-1.1989,0.0,-0.38,-20.83
DE009L2,-1.2768,0.0,-0.33,-18.49
DE011L1,0.7781,0.2,-0.12,-6.95
DE012L1,-0.2738,0.19,-0.11,-6.06
DE013L1,-0.784,0.02,-0.3,-16.44
DE014L1,0.6033,0.32,-0.1,-5.91
DE017L0,0.1763,0.16,-0.15,-8.27
DE018L1,-1.176,0.0,-0.64,-32.67
DE019L2,-0.7168,0.01,-0.64,-32.71
